audit_id	agent	agree_with_human	preferred_human_isocolonic	preferred_formal_parallelism	preferred_rhetorically_relevant	preferred_comparison_or_coordination	key_reason	what_would_change_my_mind
QA007	codex_adjudicator_2	no	uncertain	strong	uncertain	yes	Very short numeric fragments are formally matched, but this could be repair/counting residue rather than a stable two-colon figure.	A larger excerpt showing intentional three-vs-four contrast as a structured turn pair would move this to yes.
QA011	codex_adjudicator_2	yes	yes	moderate	yes	yes	Coordinated negative predicates share a frame (don't + V + complement) and jointly profile two access barriers.	If full sentence context shows this is a quotation/segmentation artifact rather than true coordination, I'd downgrade.
QA013	codex_adjudicator_2	yes	uncertain	moderate	uncertain	yes	This is coordinated predicate structure with partial frame matching, but it may be routine procedural sequencing rather than clear stylistic pairing.	Clearer context showing deliberate balancing of the two actions would move this to yes; evidence of parser-split artifact would move this to no.
QA014	codex_adjudicator_2	yes	yes	strong	yes	yes	Bare-verb coordination under a shared modal (must protect / provide) is a clean parallel list with policy force.	If surrounding context showed list-format residue rather than prose coordination, I'd reconsider.
QA016	codex_adjudicator_2	yes	yes	moderate	yes	yes	A shared matrix frame (will X and Y) gives clear constructional parallelism, though the two units are structurally uneven.	If the second unit is editorially detached from the first rather than coordinated VP, I'd weaken this further.
QA018	codex_adjudicator_2	yes	yes	moderate	yes	yes	Nonfinite-vs-finite mismatch is offset by aligned learnability semantics and repeated to-infinitival patterning (to blink / to teach).	If broader context shows the semicolon break is arbitrary segmentation rather than crafted contrast, I'd lower this to weak/uncertain.
QA019	codex_adjudicator_2	no	no	weak	yes	yes	The than-if segment is a valid comparative standard, so comparison is real, but the pair is asymmetrical and not a balanced two-colon parallel.	Evidence that nearby text supplies a matching first comparative limb would move this toward uncertain/yes.
QA021	codex_adjudicator_2	no	uncertain	weak	yes	yes	There is meaningful modern-versus-medieval contrast, but formal matching is loose and the second unit is only a prepositional fragment.	A fuller excerpt with clearer slot-matching across both units would move this to yes.
QA028	codex_adjudicator_2	no	uncertain	weak	uncertain	uncertain	Dialogic echo (do/do) is present, but this may be ordinary Q/A residue rather than a deliberate parallel contrast.	Additional turns showing patterned echo or antithetical alternation would support yes.
QA030	codex_adjudicator_2	no	no	strong	no	no	The answer mostly repeats the question with affirmation, which is formulaic confirmation echo rather than comparison or a two-colon figure.	If discourse context showed stylized echo used for contrastive setup, I'd raise this to uncertain.
QA040	codex_adjudicator_2	no	no	weak	yes	yes	The temporal-concessive relation is rhetorically meaningful, but form is not sufficiently parallel (fragment versus full clause).	A version with matched temporal clause framing on both sides would support uncertain/yes.
